name,pos,completion_pts,pass_yd_pts,pass_td_pts,pass_int_pts,rush_attempt_pts,rush_yd_pts,rush_td_pts,rec_pts,rec_yd_pts,rec_td_pts,fumble_lost_pts,fg,fg_missed,xpt,total_pts,total_pts_rank,adp_rank,MFL,FFC,ESPN,CBS,MDC,FPros,adp_avg,drafted
Brock Osweiler (DEN),QB,1.8000,3.1680,1.5000,0.0000,0.3250,0.1675,0.0000,NA,NA,NA,0.0000,NA,NA,NA,6.9605,364.0,363.0,NA,NA,NA,NA,NA,361.0,361.0,0.0
DuJuan Harris (GB),RB,NA,NA,NA,NA,1.1000,1.3132,2.4000,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,4.8132,365.0,243.0,248.0,NA,NA,196.0,225.0,284.0,238.3,0.0
Anthony Allen,RB,NA,NA,NA,NA,1.8750,1.8023,0.6000,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,4.2773,366.0,379.0,NA,NA,NA,NA,NA,377.0,377.0,0.0
Kyle Juszczyk (BAL),RB,NA,NA,NA,NA,0.0000,0.0000,0.0000,2.7000,1.4338,0.0000,0.0000,NA,NA,NA,4.1338,367.0,346.0,NA,NA,NA,NA,NA,335.0,335.0,0.0
Ryan Mallett (NE),QB,0.8500,1.4520,1.5000,0.0000,0.0500,0.0335,0.0000,NA,NA,NA,0.0000,NA,NA,NA,3.8855,368.0,424.0,NA,NA,NA,NA,NA,425.0,425.0,0.0
Chris Gronkowski (SD),RB,NA,NA,NA,NA,0.3500,0.2680,0.0000,2.0000,0.6700,0.0000,0.0000,NA,NA,NA,3.2880,369.0,365.0,NA,NA,NA,NA,NA,363.0,363.0,0.0
Vince Young,QB,0.8750,1.6000,0.5000,-0.4000,0.2000,0.3015,0.0000,NA,NA,NA,-0.2000,NA,NA,NA,2.8765,370.0,370.0,NA,NA,NA,NA,NA,368.0,368.0,0.0
Brady Quinn,QB,0.8750,1.5800,0.0000,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,0.0000,NA,NA,NA,2.4550,371.0,367.0,NA,NA,NA,NA,NA,365.0,365.0,0.0
Brandon Barden,TE,NA,NA,NA,NA,NA,NA,NA,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,0.0000,372.0,381.0,NA,NA,NA,NA,NA,379.0,379.0,0.0
David Douglas,WR,NA,NA,NA,NA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,0.0000,372.0,369.0,NA,NA,NA,NA,NA,367.0,367.0,0.0
Graham Harrell (NYJ),QB,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,0.0000,NA,NA,NA,0.0000,372.0,416.0,NA,NA,NA,NA,NA,417.0,417.0,0.0
Keiland Williams,RB,NA,NA,NA,NA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,0.0000,372.0,423.0,NA,NA,NA,NA,NA,424.0,424.0,0.0
Marcus Lattimore (SF),RB,NA,NA,NA,NA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,0.0000,372.0,261.0,221.0,NA,NA,NA,NA,342.0,281.5,0.0
Tim Tebow,QB,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,0.0000,NA,NA,NA,0.0000,372.0,308.0,NA,NA,NA,NA,NA,269.0,269.0,0.0
Joe Adams,WR,NA,NA,NA,NA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.9000,NA,NA,NA,-0.9000,378.0,376.0,NA,NA,NA,NA,NA,374.0,374.0,0.0
